English Station Name,Japanese Station Name,Akagi Line,Akita Shinkansen,Asakusa Line,Chiyoda Line,Chuo Line,Chuo-Sobu Line,Den-en-toshi line,Fukutoshin Line,Ginza Line,Hachiko Line,Haijima Line,Hanzomon Line,Hibiya Line,Hitachi and Tokiwa Line,Hokuso Line,Hokuriku Shinkansen,Ikebukuro Line,Ikegami Line,Inokashira Line,Itsukaichi Line,Joban Line,Joetsu Shinkansen,Keihin-Tohoku Line,Keikyu Main Line,Keikyu Airport Line,Keio New Line,Keio Line,Keio-Dobutsuen Line,Keio-Keibajo Line,Keisei Line,Keisei-Kanamachi Line,Keisei Narita Skyaccess,Keiyo Line,Kokubunji Line,Limited Express on the Chuo Line,Marunouchi Line,Meguro Line,Mita Line,Musashino Line,Namboku Line,Nambu Line,Narita Express,Nippori-Toneri Liner,Odakyu Odawara Line,Odoriko Line,Oedo Line,Oimachi Line,Ome Line,Oshiage Line,Rinkai Line,Romancecar,Ryomo Line,Sagamihara Line,Saikyo Line,Saitama Stadium Line,Sazanami Line,Seibu-Seibuen Line,Seibu Ikebukuro Line Limited Express,Seibu-Shinjuku Line,Seibu Shinjuku Line Limited Express,Seibu Tamagawa Line,Seibu-Yamaguchi Line,Seibu-Yurakucho Line,Shiosai Line,Shonan-Shinjuku Line,Skyliner,Sobu Line,Sotetsu-Jr Chokutsu Line,Sunrise Izumo,Sunrise Seto,Takao Line,Takasaki Line,Tama Line,Tama Monorail,Tokyu Tamagawa Line,Tamako Line,Tobu Railway Express,Tobu Skytree Line,Tobu-Daishi Line,Tobu-Kameido Line,Tobu-Tojo Line,Toden-Arakawa Line,Toei-Shinjuku Line,Tohoku Shinkansen,Tokaido Line,Tokaido-Sanyo Shinkansen,Tokyo Monorail,Tokyu-Setagaya Line,Toshima Line,Toyoko Line,Tozai Line,Tsukuba Express,Ueno-Tokyo Line,Utsunomiya Line,Wakashio Line,Yamagata Shinkansen,Yamanote Line,Yokohama Line,Yokosuka Line,Yurakucho Line,Yurikamome Line,Latitutude,Longitude
Adachi-odai,足立小台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.75474199,139.7704659
Aihara,相原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,35.60683292,139.3316669
Akabane,赤羽,T,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,T,,,,,,,T,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,35.77786696,139.7214515
Akabane-iwabuchi,赤羽岩淵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.78352083,139.7223688
Akabanebashi,赤羽橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6549848,139.7440236
Akado-shogakkomae,赤土小学校,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.74285388,139.7690303
Akasaka,赤坂,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67231437,139.7366947
Akasaka-mitsuke,赤坂見附,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69867773,139.7644232
Akebonobashi,曙橋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,35.69235837,139.7226196
Akigawa,秋川,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.72835507,139.2870189
Akihabara,秋葉原,,,,,,T,,,,,,,T,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,T,,,,,35.69853983,139.7737262
Akishima,昭島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71358248,139.3609374
Akitsu,秋津,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.77859305,139.496831
Anamori-inari,穴守稲荷,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.55047402,139.7467587
Aomi,青海,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,35.6246724,139.7811826
Aomono-yokocho,青物横丁,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.60895491,139.7431132
Aoto,青砥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.74571336,139.8561328
Aoyama-itchome,青山一丁目,,,,,,,,,T,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.67421366,139.7295982
Araiyakushi-mae,新井薬師前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.71577208,139.6719221
Arakawa-itchumae,荒川一中前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,35.73369115,139.7889401
Arakawa-kuyakushomae,荒川区役所前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,35.73494441,139.7864764
Arakawa-nanachome,荒川七丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,35.74194479,139.7841383
Arakawa-nichome,荒川二丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,35.73853449,139.7846793
Arakawa-shakomae,荒川車庫前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,35.75086727,139.75278
Arakawa-yuenchimae,荒川遊園地前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,35.75067797,139.7579161
Ariake,有明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,35.63457491,139.7932919
Ariake-Tennis-no-mori,有明テニスの森,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.64005884,139.7888454
Asagaya,阿佐ヶ谷,,,,,T,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.70509023,139.6364986
Asakusa,浅草,,,T,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,T,T,,,,,,,,,,,,,,T,,,,,,,,,,35.7109852,139.7984842
Asakusabashi,浅草橋,,,T,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69780887,139.7867559
Asukayama,飛鳥山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,35.7501674,139.7373938
Awajicho,淡路町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.69655265,139.7714182
Ayase,綾瀬,,,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.76235158,139.8256702
Azabu-juban,麻布十番,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.65658207,139.7369242
